"time_start","gender","question","wiki_1","wiki_2","wiki_3","wiki_4","wiki_5","wiki_6","wiki_7","wiki_8","wiki_9","wiki_10","wiki_pair_1","wiki_pair_2","wiki_pair_3","wiki_pair_4","wiki_pair_5","wiki_pair_6","wiki_pair_7","wiki_pair_8","wiki_pair_9","wiki_pair_10"
"2025-02-10 16:05:50 UTC",NA,"work","2","10","4","15","9","12","7","3","9","16","2,10","17,10","6,4","15,12","23,9","8,12","7,1","3,12","9,10","16,22"
"2025-02-10 15:49:46 UTC","2","work","2","17","6","15","23","8","7","3","10","16","2,10","17,10","6,4","15,12","23,9","8,12","7,1","3,12","9,10","16,22"
"2025-02-10 15:48:16 UTC","1","region","18","4","19","17","13","11","13","3","2","27","5,18","4,23","19,6","17,21","22,13","11,8","13,25","3,12","2,7","27,24"
"2025-02-10 11:08:46 UTC","2","region","1","18","16","27","9","10","12","5","10","5","1,23","25,18","22,16","27,13","9,1","10,2","27,12","5,27","22,10","11,5"
"2025-02-10 16:11:21 UTC","2","work","2","17",NA,NA,NA,NA,NA,NA,NA,NA,"2,10","17,10","6,4","15,12","23,9","8,12","7,1","3,12","9,10","16,22"
"2025-02-10 16:43:02 UTC","3","work","2","17","6","12","23","12","1","3","10","22","2,10","17,10","6,4","15,12","23,9","8,12","7,1","3,12","9,10","16,22"
"2025-02-10 19:15:46 UTC",NA,"work","10","17","4","12","23","8","7","3","9","16","2,10","17,10","6,4","15,12","23,9","8,12","7,1","3,12","9,10","16,22"
"2025-02-11 09:04:13 UTC","2","work","19","8","12","2","6","12","15","21","19","8","21,19","8,23","12,16","20,2","18,6","12,9","16,15","21,17","22,19","11,8"
"2025-02-11 11:13:31 UTC","2","region","8","11","1","1","10","11","10","1","11","2","16,8","7,11","18,1","1,26","10,23","6,11","10,14","1,16","5,11","14,2"
"2025-02-11 09:41:37 UTC","2","region","4","3","25","17","19","13","16","25","5","18","3,4","10,3","3,25","17,12","22,19","26,13","16,10","25,4","5,17","22,18"
"2025-02-11 11:10:13 UTC","2","work","22","12","5","8","13","7","22","22","16","20","22,7","14,12","5,22","8,19","23,13","14,7","13,22","2,22","16,11","5,20"
"2025-02-11 10:01:51 UTC","3","work","7","12","5","8","23","7","13","2","11","20","22,7","14,12","5,22","8,19","23,13","14,7","13,22","2,22","16,11","5,20"
"2025-02-11 09:59:22 UTC",NA,"region","8","7","1","26","10","6","10","1","5","2","16,8","7,11","18,1","1,26","10,23","6,11","10,14","1,16","5,11","14,2"
"2025-02-11 13:01:09 UTC","2","region","27","22","19","19","25","9","11","15","3","11","14,27","22,14","19,10","23,19","25,17","9,19","11,10","13,15","13,3","10,11"
"2025-02-11 11:50:13 UTC","2","work","6","2","17","12","22","19","1","13","4","19","16,6","2,12","2,17","12,10","22,16","17,19","1,23","4,13","4,19","12,19"
"2025-02-11 13:45:16 UTC","2","region","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8,2","24,12","22,10","26,14","2,21","2,13","18,7","8,27","12,7","7,20"
"2025-02-12 11:10:26 UTC","2","region","15","14","19","25","3","3","14","13","26","21","6,15","23,14","17,19","15,25","3,26","3,26","18,14","13,27","26,9","5,21"
"2025-02-13 09:37:22 UTC","2","region","7","6","10","18","20","17","19","27","25","5","22,7","7,6","16,10","12,18","16,20","17,23","24,19","26,27","15,25","22,5"
